timestamp,metric,value,instance_type
2025-04-06 19:18:42,test_start_time,1743977922,N/A
2025-04-06 19:18:45,initial_node_count,2,N/A
2025-04-06 19:18:50,node_instance_type,ip-10-0-16-137.ec2.internal,m5.large
2025-04-06 19:18:50,node_status,Ready,m5.large
2025-04-06 19:18:50,node_age,10m,m5.large
2025-04-06 19:18:54,node_instance_type,ip-10-0-38-17.ec2.internal,m5.large
2025-04-06 19:18:54,node_status,Ready,m5.large
2025-04-06 19:18:54,node_age,10m,m5.large
2025-04-06 19:19:02,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:19:03,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:19:04,scale_up_start_time,1743977944,N/A
2025-04-06 19:19:05,target_replicas,5,N/A
2025-04-06 19:19:09,current_node_count,2,N/A
2025-04-06 19:19:09,pending_pods,5,N/A
2025-04-06 19:19:09,running_pods,0,N/A
2025-04-06 19:19:09,max_node_count_5replicas,2,N/A
2025-04-06 19:19:18,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:19:19,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:20:24,current_node_count,4,N/A
2025-04-06 19:20:24,pending_pods,0,N/A
2025-04-06 19:20:24,running_pods,5,N/A
2025-04-06 19:20:24,time_to_first_node_seconds_5replicas,80,N/A
2025-04-06 19:20:30,node_instance_type,ip-10-0-16-137.ec2.internal,m5.large
2025-04-06 19:20:30,node_status,Ready,m5.large
2025-04-06 19:20:30,node_age,11m,m5.large
2025-04-06 19:20:34,node_instance_type,ip-10-0-38-17.ec2.internal,m5.large
2025-04-06 19:20:34,node_status,Ready,m5.large
2025-04-06 19:20:34,node_age,11m,m5.large
2025-04-06 19:20:37,node_instance_type,ip-10-0-9-5.ec2.internal,spot
2025-04-06 19:20:37,node_status,Ready,spot
2025-04-06 19:20:37,node_age,55s,spot
2025-04-06 19:20:40,node_instance_type,ip-10-0-9-94.ec2.internal,spot
2025-04-06 19:20:40,node_status,Ready,spot
2025-04-06 19:20:40,node_age,71s,spot
2025-04-06 19:20:40,max_node_count_5replicas,4,N/A
2025-04-06 19:20:50,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:20:51,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:21:55,current_node_count,3,N/A
2025-04-06 19:21:55,pending_pods,0,N/A
2025-04-06 19:21:55,running_pods,5,N/A
2025-04-06 19:22:05,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:22:06,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:23:11,current_node_count,3,N/A
2025-04-06 19:23:11,pending_pods,0,N/A
2025-04-06 19:23:11,running_pods,5,N/A
2025-04-06 19:23:20,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:23:21,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:24:26,current_node_count,3,N/A
2025-04-06 19:24:26,pending_pods,0,N/A
2025-04-06 19:24:26,running_pods,5,N/A
2025-04-06 19:24:35,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:24:36,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:25:38,scale_10_start_time,1743978338,N/A
2025-04-06 19:25:39,target_replicas,10,N/A
2025-04-06 19:25:43,current_node_count,3,N/A
2025-04-06 19:25:43,pending_pods,3,N/A
2025-04-06 19:25:43,running_pods,7,N/A
2025-04-06 19:25:53,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:25:54,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:26:58,current_node_count,4,N/A
2025-04-06 19:26:58,pending_pods,0,N/A
2025-04-06 19:26:58,running_pods,10,N/A
2025-04-06 19:27:07,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:27:08,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:28:13,current_node_count,4,N/A
2025-04-06 19:28:13,pending_pods,0,N/A
2025-04-06 19:28:13,running_pods,10,N/A
2025-04-06 19:28:23,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:28:24,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:29:29,current_node_count,4,N/A
2025-04-06 19:29:29,pending_pods,0,N/A
2025-04-06 19:29:29,running_pods,10,N/A
2025-04-06 19:29:38,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:29:39,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:30:44,current_node_count,4,N/A
2025-04-06 19:30:44,pending_pods,0,N/A
2025-04-06 19:30:44,running_pods,10,N/A
2025-04-06 19:30:53,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:30:54,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:31:55,scale_30_start_time,1743978715,N/A
2025-04-06 19:31:57,target_replicas,30,N/A
2025-04-06 19:32:01,current_node_count,4,N/A
2025-04-06 19:32:01,pending_pods,20,N/A
2025-04-06 19:32:01,running_pods,10,N/A
2025-04-06 19:32:10,karpenter_nodes_provisioned,0,N/A
2025-04-06 19:32:11,karpenter_total_cpu_provisioned,,N/A
2025-04-06 19:33:16,current_node_count,7,N/A
2025-04-06 19:33:16,pending_pods,0,N/A
2025-04-06 19:33:16,running_pods,30,N/A
2025-04-06 19:33:16,new_node_time_since_scale_30,81,N/A
2025-04-06 19:33:16,max_node_count_30replicas,7,N/A
2025-04-06 19:33:22,node_instance_type,ip-10-0-16-137.ec2.internal,m5.large
2025-04-06 19:33:22,node_status,Ready,m5.large
2025-04-06 19:33:22,node_age,24m,m5.large
